Wall time,Step,Value
1641390466.099999,1365,-168.1991729736328
1641390476.8065712,1366,-160.39657592773438
1641390498.1395483,1368,-156.1063232421875
1641390573.1452913,1375,-154.44210815429688
1641390583.8278475,1376,-155.25192260742188
1641390626.4513123,1380,-173.4381866455078
1641390691.2323086,1386,-159.09585571289062
1641390734.5320868,1390,-171.02207946777344
1641390766.658709,1393,-182.30589294433594
1641390809.6085305,1397,-146.54393005371094
1641391025.806638,1417,-163.84397888183594
1641391069.1106713,1421,-172.08477783203125
1641391177.052847,1431,-179.25942993164062
1641391230.968687,1436,-181.6209716796875
1641391252.4408307,1438,-147.75120544433594
1641391263.2381997,1439,-159.0690460205078
1641391274.0320377,1440,-170.84657287597656
1641391284.787807,1441,-161.40121459960938
1641391371.112699,1449,-174.53042602539062
1641391436.002724,1455,-182.39456176757812
1641391457.652952,1457,-182.0869598388672
1641391468.4770348,1458,-179.5661163330078
1641391489.824459,1460,-165.29551696777344
1641391500.6715941,1461,-169.7532196044922
1641391629.9663038,1473,-170.6156005859375
1641391640.890216,1474,-178.52328491210938
1641391662.7116537,1476,-167.81155395507812
1641391738.19688,1483,-169.56597900390625
1641391781.0601108,1487,-166.2086944580078
1641391813.3749297,1490,-177.7625732421875
1641391856.6277351,1494,-147.995361328125
1641391899.3411324,1498,-184.85714721679688
1641391909.9166136,1499,-175.69715881347656
1641391941.9094958,1502,-176.5030059814453
1641392017.2644448,1509,-166.9143829345703
1641392028.0736017,1510,-175.96934509277344
1641392038.7948694,1511,-147.48800659179688
1641392060.3605945,1513,-168.49234008789062
1641392092.9539437,1516,-163.70558166503906
1641392222.842697,1528,-154.83648681640625
1641392287.849031,1534,-173.35743713378906
1641392320.0221734,1537,-166.3812255859375
1641392330.9900923,1538,-165.3991241455078
1641392363.2912018,1541,-175.91897583007812
1641392439.2382889,1548,-153.7327423095703
1641392471.9153185,1551,-182.56004333496094
1641392482.7002883,1552,-172.77891540527344
1641392590.111159,1562,-164.89852905273438
1641392622.5864742,1565,-171.01512145996094
1641392633.4065084,1566,-167.72532653808594
1641392655.0227487,1568,-173.53802490234375
1641392697.9900103,1572,-169.60531616210938
1641392708.6680982,1573,-174.86239624023438
1641392740.6405284,1576,-163.70391845703125
1641392783.4407136,1580,-189.1656494140625
1641392836.6062396,1585,-171.82037353515625
1641392942.9712703,1595,-162.3258056640625
1641392953.6076894,1596,-160.20635986328125
1641392964.3793406,1597,-172.07501220703125
1641393007.2229846,1601,-167.95761108398438
1641393028.7726676,1603,-177.60794067382812
1641393114.7436316,1611,-182.65133666992188
1641393286.0931685,1627,-156.77479553222656
1641393329.373317,1631,-168.41590881347656
1641393372.6324914,1635,-169.88282775878906
1641393394.047671,1637,-183.73825073242188
1641393426.1629863,1640,-181.27682495117188
1641393436.8569891,1641,-163.60671997070312
1641393490.886239,1646,-165.02976989746094
1641393501.6787856,1647,-184.03009033203125
1641393544.8417356,1651,-169.7111358642578
1641393577.387448,1654,-186.19546508789062
1641393598.931325,1656,-192.22686767578125
1641393663.3260098,1662,-178.40553283691406
1641393706.5474906,1666,-158.59906005859375
1641393749.8153937,1670,-164.49172973632812
1641393792.9065952,1674,-157.5723419189453
1641393825.1261892,1677,-170.6365203857422
1641393846.6416874,1679,-186.7684783935547
1641393911.0031269,1685,-174.29371643066406
1641393921.7809687,1686,-170.26104736328125
1641393932.6398292,1687,-189.76551818847656
1641393943.515403,1688,-167.46238708496094
1641393997.1406605,1693,-148.3472442626953
1641394007.854232,1694,-165.9070587158203
1641394018.6502647,1695,-170.25050354003906
1641394093.8175232,1702,-165.58253479003906
1641394115.3757489,1704,-164.63975524902344
1641394147.7040622,1707,-154.30123901367188
